key,en_US,zh_CN,ja_JP
The_Unfettered_Nine,The Unfettered Nine,独孤九剑,独孤九剣
The_Unfettered_Nine_Description,"Preemptive Riposte, If the attack type matches your equipped weapon, it inflicts Armor Break","后发先入,若攻击类型与持有武器相同则破甲","前衛の回復,攻撃タイプが武器と一致する場合,甲破壊"
skill_basic_attack,Basic Attack,基础攻击,基本攻撃
skill_fireball,Fireball,火球术,ファイアボール
skill_heal,Heal,治疗,ヒール
skill_defense_stance,Defense Stance,防御姿态,防御姿勢
skill_strength_blessing,Strength Blessing,力量祝福,力の祝福
buff_attack_boost,Attack Boost,攻击提升,攻撃力向上
buff_defense_boost,Defense Boost,防御提升,防御力向上
buff_speed_boost,Speed Boost,速度提升,速度向上
buff_regeneration,Regeneration,持续恢复,再生
buff_damage_reduction,Damage Reduction,伤害减免,ダメージ軽減
buff_critical_rate,Critical Rate Boost,暴击提升,会心率向上
save_slot_selector_title,Select Save Slot,选择存档槽位,セーブスロット選択
save_slot_empty,Empty Slot,空槽位,空スロット
save_slot_new,New Save,新建存档,新規セーブ
save_slot_select,Select,选择,選択
save_slot_delete,Delete Selected,删除选中存档,選択したセーブを削除
save_slot_confirm,Confirm Selection,确认选择,選択を確認
save_slot_game_time,Game Time: {0},游戏时间: {0},ゲーム時間: {0}
save_slot_character_info,Character: {0} | Level: {1},角色: {0} | 等级: {1},キャラクター: {0} | レベル: {1}
save_slot_deleted,Save slot {0} deleted,存档槽位 {0} 已删除,セーブスロット {0} を削除しました
save_slot_saved,Game saved to {0},游戏已保存到 {0},ゲームを {0} にセーブしました

# Swordman Active Skills
SKILL_NAME_S01_01,Wind Breaking Sword,破风剑,破風剣
SKILL_DESC_S01_01,"Sword attack that inflicts damage, with 100% damage coefficient","造成物理伤害的剑击，伤害系数100%","物理ダメージを与える剣技、ダメージ係数100%"
SKILL_SPECIAL_S01_01,"Inflicts 3 layers of Sword Qi mark on the enemy","对敌人叠加3层剑气标记","敵に剣気マークを3層付与"
SKILL_NAME_S01_02,Wild Goose Return Sword,雁回剑,雁回剣
SKILL_DESC_S01_02,"Sword attack with 130% damage coefficient, additional 30% crit rate if enemy has Sword Qi","伤害系数130%的剑击，若敌人有剑气则暴击+30%","ダメージ係数130%の剣技、敵に剣気があればクリティカル+30%"
SKILL_SPECIAL_S01_02,"Additional crit rate when enemy has Sword Qi","敌人有剑气时追加暴击率","敵に剣気があるとクリティカル率追加"
SKILL_NAME_S01_03,Flying Sword from Heaven,天外飞仙,天外飛仙
